x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.182376,-0.0196997,-0.00591843,18.6753,-2.01725,-0.606048,-0.16188,0.120767,2.52959,-2.87871,22.2464,6000
0.182364,-0.0196985,-0.00590509,-0.00119745,0.000122797,0.00130177,-0.161818,0.12076,2.52953,0.413125,-4.93062,6000
0.18238,-0.0197065,-0.00588114,0.00171356,-0.000819588,0.00245228,-0.161902,0.1208,2.52941,-0.14321,0.194878,6000
0.182402,-0.0196899,-0.00591062,0.00208101,0.00161543,-0.00287537,-0.162009,0.120717,2.52955,-0.139122,0.194472,6000
0.18237,-0.0196664,-0.00586209,-0.00329132,0.00241337,0.00496979,-0.161848,0.1206,2.52931,-0.138717,0.18661,6000
0.182429,-0.0196732,-0.00575561,0.00579979,-0.000663939,0.0103843,-0.162145,0.120634,2.52878,-0.143635,0.201989,6000
0.182512,-0.0195496,-0.00563133,0.00854187,0.0126499,0.0127258,-0.162562,0.120016,2.52816,-0.122494,0.204147,6000
0.18257,-0.0193486,-0.00539332,0.00565302,0.0196081,0.0232116,-0.162852,0.119011,2.52697,-0.11523,0.199956,6000
0.182674,-0.0190967,-0.00507928,0.0106216,0.0257868,0.0321583,-0.163371,0.117752,2.5254,-0.106727,0.209128,6000
0.182696,-0.0190214,-0.00465768,0.00210135,0.00734674,0.0411156,-0.163479,0.117375,2.52329,-0.135424,0.195736,6000
0.182823,-0.0189707,-0.00429004,0.0130295,0.00519676,0.0376464,-0.164115,0.117121,2.52145,-0.13318,0.214937,6000
0.183024,-0.0190258,-0.00390316,0.0195807,-0.00537654,0.0377304,-0.165119,0.117397,2.51952,-0.148495,0.222701,6000
0.183292,-0.0189164,-0.00343647,0.027446,0.0111986,0.0477891,-0.166459,0.11685,2.51718,-0.120653,0.234769,6000
0.183806,-0.0188225,-0.00275133,0.0501244,0.00916254,0.0668169,-0.169029,0.11638,2.51376,-0.128472,0.270206,6000
0.184481,-0.0186606,-0.00191617,0.0691635,0.0165722,0.0855203,-0.172406,0.115571,2.50958,-0.116397,0.297765,6000
0.185364,-0.0184378,-0.00075565,0.0860799,0.021734,0.113179,-0.176819,0.114457,2.50378,-0.110294,0.324856,6000
0.186315,-0.0180633,0.000679084,0.0973663,0.0383482,0.146917,-0.181573,0.112584,2.4966,-0.0850762,0.345786,6000
0.187432,-0.0175962,0.00247765,0.108972,0.0455524,0.175403,-0.18716,0.110249,2.48761,-0.0768523,0.369504,6000
0.188562,-0.0170923,0.00445316,0.115706,0.0515993,0.202293,-0.19281,0.107729,2.47773,-0.0670333,0.386341,6000
0.190082,-0.0165781,0.00703294,0.155606,0.0526518,0.264169,-0.200408,0.105158,2.46484,-0.0650932,0.462772,6000
0.191634,-0.0159487,0.00980196,0.151351,0.0613821,0.270046,-0.208168,0.102011,2.45099,-0.0480289,0.455093,6000
0.193252,-0.0153285,0.0130365,0.165742,0.0635052,0.331222,-0.216261,0.0989105,2.43482,-0.0440906,0.497717,6000
0.195078,-0.014578,0.0165944,0.178038,0.0732008,0.34698,-0.225388,0.0951576,2.41703,-0.0247069,0.52775,6000
0.197108,-0.0138709,0.0205781,0.207933,0.072406,0.407928,-0.235541,0.0916221,2.39711,-0.0247892,0.596186,6000
0.199215,-0.0131826,0.024913,0.205462,0.0671247,0.422754,-0.246075,0.0881807,2.37543,-0.0288353,0.600662,6000
0.201369,-0.0124685,0.029728,0.220566,0.0731201,0.493056,-0.256845,0.0846104,2.35136,-0.0128698,0.654861,6000
0.203719,-0.0117057,0.0348533,0.229138,0.074388,0.499843,-0.268593,0.0807965,2.32573,-0.00762166,0.684229,6000
0.206122,-0.0109381,0.0403564,0.246063,0.0786048,0.56351,-0.280608,0.0769584,2.29822,0.00445498,0.742716,6000
0.208602,-0.010102,0.0462618,0.241877,0.0815381,0.575921,-0.293009,0.072778,2.26869,0.0139986,0.753483,6000
0.211231,-0.00932065,0.0524254,0.269278,0.0800135,0.631148,-0.306157,0.0688711,2.23787,0.016169,0.838789,6000
0.21405,-0.00851244,0.059001,0.27486,0.0788202,0.641279,-0.320249,0.06483,2.205,0.0205387,0.867331,6000
0.216959,-0.00755393,0.0658481,0.297939,0.0981515,0.70114,-0.334797,0.0600374,2.17076,0.0643215,0.950564,6000
0.220042,-0.0066172,0.073073,0.30068,0.0913533,0.7046,-0.350212,0.0553538,2.13464,0.0522497,0.978379,6000
0.223254,-0.00567088,0.0805123,0.328879,0.0969035,0.761788,-0.366271,0.0506222,2.09744,0.0738165,1.08045,6000
0.226561,-0.00464498,0.0883988,0.322485,0.100049,0.769124,-0.382805,0.0454927,2.05801,0.0864767,1.09487,6000
0.229917,-0.00351439,0.0963117,0.343675,0.115773,0.810281,-0.399586,0.0398397,2.01844,0.127233,1.18953,6000
0.233464,-0.00256628,0.104864,0.345937,0.0924632,0.834045,-0.417322,0.0350992,1.97568,0.0844257,1.23479,6000
0.236979,-0.00140919,0.113593,0.359921,0.118486,0.893907,-0.434896,0.0293138,1.93203,0.159267,1.32801,6000
0.240751,-0.000296824,0.122584,0.367794,0.108482,0.876758,-0.453753,0.0237519,1.88708,0.138266,1.37768,6000
0.24441,0.000800567,0.131853,0.374754,0.112373,0.949204,-0.472051,0.018265,1.84073,0.165095,1.4708,6000
0.248194,0.00204398,0.141442,0.369043,0.121262,0.935144,-0.490972,0.0120479,1.79279,0.194644,1.49959,6000
0.252039,0.00321337,0.151323,0.393729,0.119746,1.0118,-0.510197,0.00620092,1.74339,0.205856,1.6525,6000
0.25588,0.00446825,0.161516,0.374596,0.12238,0.994037,-0.529402,-7.34557e-05,1.69242,0.225437,1.64588,6000
0.259809,0.00577172,0.171902,0.402283,0.133476,1.06354,-0.549045,-0.00659082,1.64049,0.272059,1.82351,6000
0.263744,0.00720783,0.182561,0.402927,0.147057,1.09148,-0.568719,-0.0137713,1.5872,0.320572,1.89575,6000
0.267701,0.00854574,0.193591,0.385896,0.130479,1.07569,-0.588504,-0.0204609,1.53205,0.290541,1.9148,6000
0.271707,0.0100862,0.204775,0.410287,0.157746,1.14521,-0.608537,-0.0281634,1.47613,0.397448,2.11287,5887.34
0.275657,0.0116732,0.216189,0.385181,0.154768,1.1132,-0.628285,-0.0360983,1.41905,0.394733,2.08911,5854.41
0.279661,0.013244,0.227808,0.409967,0.160852,1.18978,-0.648303,-0.0439524,1.36096,0.450315,2.3204,5567.13
0.28373,0.0149874,0.239782,0.396833,0.170016,1.16774,-0.668649,-0.052669,1.30109,0.495964,2.34096,5508.27
0.287824,0.0166148,0.2519,0.419284,0.166648,1.24089,-0.689122,-0.0608061,1.2405,0.527201,2.58737,5225.03
0.29171,0.0185483,0.264233,0.3789,0.188564,1.20272,-0.708548,-0.0704737,1.17884,0.61768,2.51763,5196.61
0.295594,0.0204366,0.276762,0.397815,0.193367,1.28297,-0.727972,-0.0799154,1.11619,0.682218,2.80454,4891.28
0.299567,0.0223935,0.289552,0.387384,0.190843,1.24733,-0.747833,-0.0896998,1.05224,0.701125,2.83187,4854.23
0.303461,0.0244832,0.30243,0.398816,0.213987,1.31875,-0.767307,-0.100148,0.987849,0.852021,3.10734,4564.97
0.307301,0.0266698,0.315447,0.374439,0.213244,1.26946,-0.786504,-0.111081,0.922764,0.865781,3.07865,4553.48
0.311141,0.0287426,0.328628,0.393185,0.212255,1.34971,-0.805703,-0.121445,0.85686,0.957053,3.44436,4239.94
0.314875,0.0311085,0.341906,0.364171,0.230723,1.29488,-0.824373,-0.133274,0.790472,1.05702,3.3826,4239.26
0.318611,0.0333587,0.355226,0.382605,0.23043,1.36406,-0.843055,-0.144526,0.723868,1.15643,3.7814,3947.59
0.322158,0.0357191,0.368647,0.345877,0.230194,1.30886,-0.860788,-0.156328,0.656763,1.1928,3.68588,3944.08
0.325887,0.0382776,0.382126,0.381924,0.261986,1.38025,-0.879437,-0.16912,0.589368,1.46703,4.22644,3646.7
