x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.179262,0.00017006,-0.00709159,18.3564,0.0174142,-0.726179,-0.14631,0.0214175,2.53546,-0.0104378,34.6952,6000
0.179296,0.000167874,-0.00709123,0.00348511,-0.000223874,3.69549e-05,-0.14648,0.0214284,2.53546,-0.0531461,-8.68225,6000
0.179299,0.000156017,-0.00707633,0.000255238,-0.00110381,0.00138716,-0.146494,0.0214877,2.53538,-0.0452283,0.293099,6000
0.179298,0.000162076,-0.00706843,-3.20435e-05,0.000620475,0.000808525,-0.146492,0.0214574,2.53534,-0.0404862,0.293793,6000
0.179269,0.000165319,-0.00706239,-0.0030014,0.000332063,0.000618649,-0.146346,0.0214412,2.53531,-0.0420089,0.286268,6000
0.179258,0.000172626,-0.00706642,-0.00115967,0.000748299,-0.000412273,-0.146289,0.0214047,2.53533,-0.040759,0.292165,6000
0.179255,0.000186047,-0.00704965,-0.000249689,0.00124932,0.00156069,-0.146276,0.0213376,2.53525,-0.0396148,0.293571,6000
0.179231,0.000201075,-0.00703371,-0.00249176,0.00153888,0.00163255,-0.146154,0.0212624,2.53517,-0.0389664,0.287356,6000
0.179217,0.000232492,-0.00699078,-0.00145569,0.00321706,0.00439615,-0.146083,0.0211053,2.53495,-0.0346296,0.290994,6000
0.179199,0.000255588,-0.00695745,-0.00182037,0.0023651,0.0034131,-0.145994,0.0209899,2.53479,-0.0373306,0.289379,6000
0.179205,0.000264512,-0.00692533,0.000583995,0.000830721,0.00299012,-0.146025,0.0209452,2.53463,-0.0405871,0.295522,6000
0.179172,0.000236729,-0.00682208,-0.0034317,-0.00284501,0.0105729,-0.145858,0.0210842,2.53411,-0.0493901,0.284408,6000
0.179168,0.0002134,-0.00663978,-0.000325012,-0.0023889,0.0186673,-0.145842,0.0212008,2.5332,-0.0467451,0.294311,6000
0.179143,7.62356e-05,-0.00630494,-0.00262299,-0.0140456,0.0342872,-0.145714,0.0218866,2.53152,-0.0775396,0.287316,6000
0.179119,-0.000118863,-0.00569854,-0.00218756,-0.0181619,0.0564503,-0.145596,0.0228621,2.52849,-0.0841238,0.289938,6000
0.179097,-0.000367771,-0.00480662,-0.0022583,-0.0254883,0.0913332,-0.145486,0.0241067,2.52403,-0.103525,0.29045,6000
0.179112,-0.000620149,-0.00357392,0.00156403,-0.0258435,0.126228,-0.145562,0.0253685,2.51787,-0.103735,0.301309,5991.15
