x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.178269,0.0207713,-0.00468121,16.5952,1.93361,-0.435778,-0.141343,-0.0815885,2.52341,5.19841,32.3409,6000
0.178292,0.020785,-0.00466862,0.00237122,0.00140457,0.00128937,-0.141459,-0.0816571,2.52334,-0.787045,-7.79164,6000
0.178295,0.0207658,-0.00463287,0.000335693,-0.001968,0.00366054,-0.141476,-0.081561,2.52316,0.156383,0.280636,6000
0.178335,0.0207485,-0.00462806,0.00403595,-0.00177097,0.000492573,-0.141673,-0.0814745,2.52314,0.158269,0.291118,6000
0.178368,0.0207512,-0.00462232,0.00308921,0.000259746,0.000533884,-0.141839,-0.0814884,2.52311,0.16319,0.287366,6000
0.178368,0.020732,-0.0046228,-7.62939e-06,-0.00197086,-4.94003e-05,-0.141838,-0.0813922,2.52311,0.156534,0.280044,6000
0.178378,0.020718,-0.00463536,0.00106354,-0.0014286,-0.00128546,-0.14189,-0.0813224,2.52318,0.158807,0.284279,6000
0.178371,0.0207139,-0.00466298,-0.00068512,-0.000427246,-0.00282898,-0.141857,-0.0813016,2.52331,0.160975,0.279295,6000
0.178274,0.0206965,-0.00464549,-0.00902627,-0.00162194,0.00162866,-0.141372,-0.0812145,2.52323,0.157477,0.258899,6000
0.17818,0.0206277,-0.00463253,-0.00965729,-0.00703735,0.00132685,-0.1409,-0.0808708,2.52316,0.143797,0.260024,6000
0.178114,0.0205189,-0.00463073,-0.00679321,-0.0111465,0.000184917,-0.140569,-0.0803266,2.52315,0.135078,0.266779,6000
0.178013,0.0203605,-0.00459949,-0.0103409,-0.0162128,0.00319862,-0.140064,-0.0795349,2.523,0.122913,0.255645,6000
0.177942,0.020244,-0.00451985,-0.00656822,-0.0108469,0.00741347,-0.139711,-0.0789523,2.5226,0.13741,0.266013,6000
0.177887,0.0201425,-0.00438272,-0.00561523,-0.0104015,0.014042,-0.139437,-0.0784445,2.52191,0.135243,0.266368,6000
0.177794,0.0200681,-0.00419671,-0.00951996,-0.00761051,0.0190475,-0.138972,-0.0780728,2.52098,0.141319,0.25535,6000
0.177652,0.0200244,-0.00385958,-0.0145599,-0.0044796,0.0345226,-0.138261,-0.0778541,2.5193,0.147606,0.243664,6000
0.177462,0.020053,-0.00342869,-0.0176849,0.00266561,0.0401121,-0.137311,-0.0779973,2.51714,0.16399,0.236624,6000
0.177193,0.0201043,-0.00277529,-0.0275726,0.00524769,0.0669075,-0.135965,-0.0782535,2.51388,0.168334,0.211237,6000
0.176965,0.0201778,-0.00200901,-0.0232986,0.00753403,0.0784672,-0.134827,-0.0786214,2.51005,0.173701,0.224707,6000
0.176662,0.0202477,-0.000944903,-0.0310944,0.00715733,0.108965,-0.133309,-0.0789709,2.50472,0.172953,0.200708,5991.89
0.176457,0.0202598,0.000178762,-0.0190291,0.00112117,0.104603,-0.132287,-0.0790311,2.49911,0.158167,0.232158,5997.13
0.176307,0.0202396,0.00162411,-0.0154251,-0.00207062,0.148004,-0.131534,-0.07893,2.49188,0.153469,0.235685,5963.46
0.176201,0.0202206,0.00318246,-0.0108109,-0.00194168,0.159575,-0.131006,-0.0788352,2.48409,0.155289,0.244719,5959.06
0.176213,0.0200767,0.00495874,0.00116577,-0.0147371,0.181891,-0.131063,-0.0781156,2.47521,0.121687,0.273739,5941.47
0.176275,0.0199861,0.00681857,0.00644379,-0.00927601,0.190447,-0.131377,-0.0776627,2.46591,0.141135,0.282202,5934.8
0.176441,0.0197539,0.00887775,0.0154266,-0.0216156,0.191691,-0.132206,-0.0765017,2.45561,0.105299,0.303971,5930.28
0.176683,0.0194874,0.0110046,0.0247192,-0.0272924,0.217786,-0.133413,-0.075169,2.44498,0.0940421,0.327316,5907.49
0.177059,0.0190921,0.0131972,0.0385437,-0.0404758,0.22453,-0.135295,-0.0731927,2.43401,0.0591711,0.36224,5901.87
0.177498,0.0186192,0.015574,0.0449432,-0.048424,0.243385,-0.137489,-0.0708282,2.42213,0.0406753,0.377349,5884.31
0.178138,0.0179408,0.0179904,0.0595495,-0.0631573,0.224939,-0.140688,-0.067436,2.41005,0.000533282,0.416881,5893.69
0.178994,0.0172362,0.0204357,0.0877274,-0.0721464,0.250397,-0.144971,-0.0639132,2.39782,-0.023142,0.493447,5867.56
0.180064,0.0164413,0.0229569,0.109508,-0.0813997,0.258179,-0.150319,-0.0599386,2.38522,-0.0506926,0.547088,5860.34
0.181313,0.0154466,0.0255903,0.127888,-0.101859,0.26965,-0.156563,-0.054965,2.37205,-0.109273,0.597723,5847.37
0.182707,0.0143711,0.0282498,0.129819,-0.100116,0.247582,-0.163536,-0.0495877,2.35875,-0.105471,0.606724,5857.27
0.184327,0.0132068,0.0308952,0.165909,-0.119222,0.270884,-0.171637,-0.0437663,2.34552,-0.168262,0.718739,5831.63
0.186079,0.0119362,0.0335178,0.179404,-0.130111,0.268554,-0.180397,-0.0374132,2.33241,-0.200015,0.753753,5830.65
0.188071,0.0107022,0.0361533,0.203969,-0.126365,0.269882,-0.190356,-0.0312431,2.31923,-0.197833,0.832294,5822.87
0.190188,0.00931086,0.0388276,0.197073,-0.129519,0.248946,-0.200941,-0.0242865,2.30586,-0.221859,0.823165,5830.27
0.192486,0.00779501,0.0414982,0.23531,-0.155223,0.273469,-0.212431,-0.0167072,2.29251,-0.304084,0.953434,5804.01
0.194923,0.00620071,0.0441255,0.249512,-0.163257,0.269042,-0.224614,-0.00873573,2.27937,-0.32851,0.996226,5804.67
0.197583,0.00448974,0.0467719,0.272435,-0.175203,0.270986,-0.237917,-0.000180902,2.26614,-0.373862,1.07788,5796.16
0.20032,0.00270216,0.0493979,0.254797,-0.166408,0.244457,-0.251602,0.008757,2.25301,-0.363131,1.04748,5807.42
0.203314,0.000827065,0.0520001,0.306506,-0.19201,0.266468,-0.266568,0.0181325,2.24,-0.455263,1.22644,5782.36
0.206387,-0.00118324,0.0546663,0.314761,-0.205855,0.273017,-0.281937,0.028184,2.22667,-0.500031,1.25534,5775.07
0.209567,-0.00319897,0.0572985,0.325607,-0.206411,0.269542,-0.297836,0.0382626,2.21351,-0.51575,1.31334,5772.1
0.212837,-0.00532393,0.0599337,0.304432,-0.197815,0.245313,-0.314187,0.0488875,2.20033,-0.514717,1.28549,5780.9
0.216224,-0.00751807,0.0625982,0.346751,-0.224679,0.272847,-0.331119,0.0598581,2.18701,-0.614908,1.44829,5752.35
0.219684,-0.00972392,0.0652141,0.354317,-0.225879,0.267859,-0.348419,0.0708874,2.17393,-0.627284,1.48236,5753.94
0.223241,-0.0120105,0.0678654,0.36422,-0.234146,0.271496,-0.366203,0.0823203,2.16067,-0.673501,1.54431,5744.22
0.226956,-0.0143251,0.0705326,0.380408,-0.237017,0.273124,-0.384778,0.0938934,2.14734,-0.701994,1.62271,5737.31
0.230754,-0.0167081,0.0732134,0.353584,-0.221834,0.249555,-0.403769,0.105808,2.13393,-0.685113,1.58237,5746.35
0.234721,-0.0191167,0.0759706,0.406186,-0.246639,0.282342,-0.423603,0.117851,2.12015,-0.787233,1.78464,5714.34
0.238744,-0.0216264,0.0787526,0.412053,-0.256998,0.284874,-0.443722,0.1304,2.10624,-0.828818,1.81645,5711.37
0.242821,-0.0241606,0.081527,0.417386,-0.259495,0.284097,-0.464103,0.143071,2.09237,-0.857749,1.87239,5705.61
0.246957,-0.0266802,0.0843035,0.385025,-0.234553,0.258466,-0.484783,0.155669,2.07848,-0.81667,1.82597,5715.29
0.25107,-0.0292478,0.0872444,0.421252,-0.262925,0.30115,-0.505352,0.168507,2.06378,-0.937134,1.99394,5675.81
0.255299,-0.0317723,0.0902081,0.433047,-0.258503,0.303487,-0.526496,0.181129,2.04896,-0.937785,2.05204,5674.24
0.259523,-0.0343168,0.0931673,0.432465,-0.26056,0.303018,-0.547613,0.193852,2.03416,-0.973741,2.09156,5667.74
0.263752,-0.0369629,0.0961991,0.393724,-0.24633,0.28224,-0.56876,0.207082,2.019,-0.962416,2.03317,5673.62
0.26796,-0.039626,0.0993475,0.430896,-0.272703,0.322395,-0.5898,0.220398,2.00326,-1.07507,2.20961,5636.17
0.272244,-0.0422202,0.102525,0.43866,-0.265647,0.325326,-0.611219,0.233369,1.98738,-1.07075,2.25802,5633.2
0.276545,-0.0448356,0.105738,0.440457,-0.267809,0.329093,-0.632726,0.246446,1.97131,-1.11023,2.30877,5623.38
0.280876,-0.0473992,0.109,0.403168,-0.238648,0.303633,-0.65438,0.259264,1.955,-1.05769,2.25213,5632.4
0.285063,-0.0499734,0.112418,0.428772,-0.263598,0.350014,-0.675316,0.272135,1.93791,-1.17536,2.40158,5589.31
0.289263,-0.0524694,0.115816,0.430066,-0.255589,0.347991,-0.696316,0.284615,1.92092,-1.16735,2.43651,5590.15
0.293364,-0.0548545,0.119286,0.419943,-0.244236,0.355324,-0.716821,0.29654,1.90357,-1.16948,2.45873,5576.24
0.297357,-0.057307,0.122834,0.371657,-0.228305,0.330256,-0.736783,0.308803,1.88583,-1.15756,2.37489,5584.85
0.301331,-0.0595737,0.126451,0.406934,-0.232117,0.370328,-0.756652,0.320136,1.86775,-1.20879,2.55422,5545.63
0.305309,-0.0618048,0.130125,0.407422,-0.228464,0.376227,-0.776546,0.331292,1.84938,-1.22249,2.58298,5539.36
0.309098,-0.0639585,0.133921,0.387994,-0.220541,0.388702,-0.795491,0.342061,1.8304,-1.22997,2.57877,5522.4
0.312849,-0.0660662,0.137698,0.349185,-0.196205,0.351637,-0.814246,0.352599,1.81151,-1.18791,2.51795,5539.27
