x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.182809,0.0151401,-0.00632789,18.7196,1.55035,-0.647976,-0.164044,-0.0534328,2.53164,2.14165,22.1581,6000
0.182801,0.0151414,-0.00632156,-0.000794983,0.000127602,0.000648499,-0.164005,-0.0534391,2.53161,-0.385775,-5.19821,6000
0.182785,0.0151505,-0.00632269,-0.00147872,0.000854406,-0.000105381,-0.163926,-0.053485,2.53161,0.06407,0.192272,6000
0.182787,0.0151423,-0.0062928,0.00015564,-0.000839806,0.00306091,-0.163933,-0.0534439,2.53146,0.061382,0.194997,6000
0.182791,0.0151477,-0.00626619,0.000483704,0.000548077,0.00272508,-0.163957,-0.0534707,2.53133,0.0639333,0.195016,6000
0.1828,0.0151524,-0.00624538,0.000868225,0.000485325,0.00213046,-0.163999,-0.0534944,2.53123,0.0634639,0.195513,6000
0.182832,0.0151536,-0.00614315,0.00297824,0.000104124,0.00951711,-0.164159,-0.0535,2.53072,0.0630403,0.198966,6000
0.182854,0.0151783,-0.00603062,0.00229492,0.00253487,0.0115222,-0.164271,-0.0536238,2.53015,0.0668945,0.19762,6000
0.182924,0.0151666,-0.00587543,0.00711212,-0.00120201,0.0158923,-0.164618,-0.0535651,2.52938,0.0606814,0.205536,6000
0.183015,0.01513,-0.00568775,0.0093689,-0.00374594,0.0192184,-0.165076,-0.0533822,2.52844,0.0578285,0.208188,6000
0.183129,0.01507,-0.00553624,0.010609,-0.0055894,0.0141035,-0.165646,-0.053082,2.52768,0.0554739,0.209797,6000
0.183272,0.0149332,-0.00548174,0.0145828,-0.014005,0.00558138,-0.166358,-0.0523981,2.52741,0.0426623,0.215804,6000
0.183577,0.01478,-0.0053268,0.031279,-0.0156832,0.0158656,-0.167885,-0.0516323,2.52663,0.0418016,0.241636,6000
0.183865,0.0144965,-0.00513294,0.0294449,-0.0290321,0.0198517,-0.169323,-0.0502148,2.52566,0.0209294,0.236032,6000
0.184234,0.0141043,-0.0047258,0.0343725,-0.0365106,0.0379006,-0.171169,-0.0482537,2.52363,0.011647,0.246897,6000
0.184636,0.0136503,-0.00415959,0.0412094,-0.0464942,0.0579794,-0.173181,-0.0459835,2.5208,-0.00390168,0.259303,6000
0.185118,0.0131578,-0.00339342,0.0493301,-0.0504235,0.0784564,-0.17559,-0.0435214,2.51697,-0.00983588,0.273592,6000
0.185612,0.0125751,-0.00244561,0.0506058,-0.0596691,0.0970553,-0.178061,-0.0406079,2.51223,-0.0261258,0.277357,6000
0.186192,0.0119734,-0.00120832,0.0540078,-0.0560121,0.11518,-0.180962,-0.0375994,2.50604,-0.0217314,0.286857,6000
0.186858,0.0113748,0.00021334,0.0681732,-0.0613024,0.145578,-0.18429,-0.0346062,2.49893,-0.0345671,0.313781,6000
0.187635,0.0106947,0.0019003,0.0795624,-0.069643,0.172745,-0.188175,-0.0312056,2.4905,-0.0501804,0.334018,6000
0.188499,0.0100823,0.00383386,0.0885101,-0.062711,0.197996,-0.192497,-0.0281436,2.48083,-0.0410987,0.352104,6000
0.189296,0.00943982,0.00603662,0.0815796,-0.065787,0.225563,-0.19648,-0.0249313,2.46982,-0.0522893,0.346366,6000
0.190282,0.0088263,0.0083893,0.0917372,-0.0571129,0.219014,-0.201408,-0.0218637,2.45805,-0.0419217,0.370262,6000
0.191277,0.00814848,0.0111049,0.101944,-0.0694092,0.27808,-0.206385,-0.0184746,2.44448,-0.068756,0.395914,6000
0.192414,0.00748556,0.0140416,0.116463,-0.0678828,0.300719,-0.212072,-0.01516,2.42979,-0.0672225,0.425965,6000
0.193557,0.00683138,0.017205,0.116948,-0.0669882,0.323929,-0.217782,-0.0118891,2.41398,-0.0710051,0.433062,6000
0.19478,0.00621418,0.0205692,0.113937,-0.057456,0.313177,-0.223902,-0.00880308,2.39715,-0.0602305,0.436281,6000
0.196075,0.00561248,0.0241743,0.13252,-0.0616141,0.369157,-0.230373,-0.00579458,2.37913,-0.0747371,0.48348,6000
0.197538,0.00492428,0.0280232,0.149811,-0.0704713,0.394128,-0.237688,-0.00235359,2.35988,-0.0932181,0.520057,6000
0.19898,0.00430809,0.0320482,0.147726,-0.0630974,0.41216,-0.244901,0.000727333,2.33976,-0.0829455,0.524864,6000
0.200537,0.00363456,0.0362729,0.144896,-0.0626999,0.393288,-0.252684,0.004095,2.31864,-0.0891209,0.531119,6000
0.202147,0.00291491,0.0407172,0.164847,-0.0736923,0.455092,-0.260733,0.00769326,2.29641,-0.114571,0.587524,6000
0.203826,0.00219733,0.0453667,0.172023,-0.07348,0.476105,-0.269132,0.0112812,2.27317,-0.116507,0.610069,6000
0.205602,0.00140473,0.0502025,0.181853,-0.0811617,0.495189,-0.278012,0.0152441,2.24899,-0.136467,0.642899,6000
0.207448,0.000612755,0.0550752,0.171786,-0.0737261,0.453601,-0.287239,0.019204,2.22462,-0.126071,0.631994,6000
0.20936,-0.000220019,0.0601694,0.195868,-0.0852761,0.521648,-0.296802,0.0233679,2.19915,-0.157582,0.70606,6000
0.211466,-0.0011002,0.0654122,0.215648,-0.0901303,0.536864,-0.307332,0.0277688,2.17294,-0.169819,0.753915,6000
0.21361,-0.00205914,0.0707369,0.219481,-0.098196,0.545245,-0.318049,0.0325635,2.14632,-0.190798,0.775333,6000
0.215874,-0.00302024,0.0761279,0.210767,-0.0894691,0.501859,-0.329369,0.037369,2.11936,-0.178623,0.771043,6000
0.218233,-0.00410194,0.0817463,0.2416,-0.110766,0.575319,-0.341166,0.0427775,2.09127,-0.233109,0.868223,6000
0.220628,-0.00517797,0.0874399,0.245198,-0.110186,0.583031,-0.353139,0.0481577,2.0628,-0.23406,0.887884,6000
0.223087,-0.00633043,0.0932153,0.251779,-0.118012,0.591402,-0.365433,0.0539199,2.03392,-0.259514,0.925183,6000
0.225623,-0.00753071,0.099118,0.23609,-0.111735,0.549488,-0.378113,0.0599214,2.00441,-0.253083,0.909243,6000
0.228261,-0.00878852,0.105071,0.270197,-0.1288,0.609573,-0.391307,0.0662104,1.97465,-0.303342,1.02159,6000
0.230899,-0.0101654,0.111182,0.270142,-0.140996,0.625764,-0.404497,0.073095,1.94409,-0.334226,1.04012,6000
0.233608,-0.0115042,0.117335,0.27739,-0.137092,0.630128,-0.418041,0.0797889,1.91332,-0.335336,1.08412,6000
0.236335,-0.012965,0.123554,0.27924,-0.149586,0.636828,-0.431676,0.0870929,1.88223,-0.375901,1.11686,6000
0.239124,-0.014459,0.129913,0.259623,-0.139078,0.591913,-0.445621,0.0945629,1.85044,-0.361002,1.09532,6000
0.241964,-0.0159845,0.136321,0.290842,-0.156206,0.656187,-0.459822,0.10219,1.81839,-0.421194,1.21777,6000
0.244852,-0.0175305,0.142847,0.295677,-0.158315,0.668263,-0.474259,0.10992,1.78576,-0.435732,1.25166,6000
0.24778,-0.0191643,0.14935,0.299803,-0.167297,0.665933,-0.488898,0.118089,1.75325,-0.469852,1.29165,6000
0.250698,-0.0207088,0.156056,0.271643,-0.143784,0.624266,-0.503488,0.125812,1.71972,-0.430483,1.2536,6000
0.253651,-0.0223717,0.162759,0.302377,-0.17028,0.686369,-0.518253,0.134126,1.6862,-0.520761,1.38876,6000
