x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.186573,0.00927045,-0.00711365,17.3683,0.862994,-0.662216,-0.182866,-0.0240844,2.53557,2.1008,31.67,6000
0.186589,0.00926681,-0.00709413,0.0016098,-0.000372219,0.0019989,-0.182945,-0.0240663,2.53547,-0.356542,-7.61592,6000
0.186591,0.00926799,-0.00710691,0.000166321,0.000120354,-0.00130801,-0.182953,-0.0240721,2.53553,0.0453751,0.343147,6000
0.186581,0.00927269,-0.00710332,-0.000944519,0.000481796,0.000367498,-0.182907,-0.0240957,2.53552,0.0460468,0.341178,6000
0.186567,0.00926875,-0.00710328,-0.00130948,-0.000366731,3.85805e-06,-0.182836,-0.024076,2.53552,0.0438922,0.340649,6000
0.186553,0.00926271,-0.0070848,-0.00149231,-0.000618553,0.00189214,-0.182763,-0.0240458,2.53542,0.043603,0.340276,6000
0.186537,0.00928996,-0.00706889,-0.0015625,0.00279026,0.00162873,-0.182687,-0.024182,2.53534,0.0519169,0.339996,6000
0.186556,0.00928043,-0.00707108,0.00192413,-0.000976372,-0.000224018,-0.182781,-0.0241343,2.53536,0.0414841,0.348237,6000
0.186572,0.00927477,-0.00707123,0.00147039,-0.000526515,-1.36549e-05,-0.18286,-0.0241061,2.53536,0.0441662,0.345752,6000
0.186575,0.00924677,-0.00707386,0.000262451,-0.00286703,-0.000269938,-0.182873,-0.0239661,2.53537,0.038258,0.3431,6000
0.186596,0.0091809,-0.00707972,0.00217743,-0.00674505,-0.000599337,-0.182979,-0.0236367,2.5354,0.0296609,0.348264,6000
0.186583,0.00907734,-0.00702238,-0.00129395,-0.0106048,0.00587077,-0.182916,-0.0231189,2.53511,0.0214711,0.339395,6000
0.186529,0.00892272,-0.00697869,-0.00500072,-0.0143933,0.0040672,-0.182647,-0.0223458,2.53489,0.0130979,0.331829,6000
0.186501,0.00872537,-0.00680181,-0.00288391,-0.0202088,0.0181128,-0.182507,-0.0213591,2.53401,-0.000731346,0.338528,6000
