sx,sy,sz,x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.88,-0.03,0.501,0.888938,-0.0692545,0.654914,-0.000797923,-0.0372873,-0.0377703,-0.0268155,0.117763,-0.307828,-0.971812,0.168839,4784.3
0.88,-0.03,0.501,0.888687,-0.0696603,0.654476,-0.0251346,-0.0405407,-0.0437607,-0.0260607,0.118981,-0.306952,-1.00685,-0.0115407,4791.28
0.88,-0.03,0.501,0.888603,-0.0701632,0.654136,-0.00842583,-0.0502379,-0.0339355,-0.0258077,0.120489,-0.306273,-1.08277,0.12683,4781.31
0.88,-0.03,0.501,0.888518,-0.0705646,0.653725,-0.00849133,-0.0401061,-0.0411526,-0.0255527,0.121694,-0.305449,-1.00827,0.108662,4790.33
0.88,-0.03,0.501,0.888367,-0.0709538,0.65324,-0.0149998,-0.0388839,-0.048447,-0.0251023,0.122861,-0.304479,-1.01524,0.0606331,4796.85
0.88,-0.03,0.501,0.888317,-0.0714326,0.652873,-0.00502572,-0.047827,-0.0366747,-0.0249513,0.124298,-0.303745,-1.09015,0.135674,4784.83
0.88,-0.03,0.501,0.888431,-0.0718211,0.652306,0.0113317,-0.0388146,-0.0566228,-0.0252916,0.125463,-0.302611,-1.02123,0.241158,4806.8
0.88,-0.03,0.501,0.888173,-0.0723302,0.651932,-0.0256943,-0.0508587,-0.0373773,-0.02452,0.126991,-0.301863,-1.12774,-0.036164,4785.46
0.88,-0.03,0.501,0.888029,-0.0726821,0.651502,-0.0144162,-0.0351548,-0.0429509,-0.0240871,0.128046,-0.301003,-1.01132,0.0751668,4794.41
0.88,-0.03,0.501,0.888007,-0.0732403,0.650984,-0.00220917,-0.0557668,-0.0517161,-0.0240208,0.129721,-0.299968,-1.17794,0.148695,4802.96
0.88,-0.03,0.501,0.887945,-0.0736526,0.650515,-0.00613924,-0.0411876,-0.0468929,-0.0238364,0.130958,-0.299029,-1.06582,0.108815,4797.28
0.88,-0.03,0.501,0.8879,-0.0741458,0.650033,-0.00452553,-0.0492807,-0.0481076,-0.0237005,0.132438,-0.298066,-1.14445,0.122926,4800.03
0.88,-0.03,0.501,0.887879,-0.0745993,0.649539,-0.00216154,-0.0452978,-0.0494057,-0.0236356,0.133798,-0.297077,-1.11697,0.137408,4801.71
0.88,-0.03,0.501,0.887924,-0.0750409,0.649011,0.00457913,-0.044121,-0.0527463,-0.0237731,0.135123,-0.296021,-1.11984,0.182697,4805.47
0.88,-0.03,0.501,0.88775,-0.0755743,0.648519,-0.0174471,-0.0532844,-0.0490663,-0.0232492,0.136723,-0.295039,-1.1952,0.0202606,4802.12
0.88,-0.03,0.501,0.887924,-0.076049,0.647911,0.0173876,-0.0474265,-0.060791,-0.0237713,0.138147,-0.293822,-1.15142,0.285662,4814.92
0.88,-0.03,0.501,0.887669,-0.0766683,0.64747,-0.025474,-0.0618703,-0.0440704,-0.0230064,0.140005,-0.29294,-1.27298,-0.0491609,4797.54
