x,y,z,vx,vy,vz,svx,svy,svz,ox,oy,oz
0.182157,0.00589936,-0.00698474,18.6529,0.604094,-0.715238,-0.160784,-0.00722899,2.53492,0.804683,21.8561,6000
0.18218,0.00590091,-0.00698614,0.00212236,0.000144655,-0.000129613,-0.160898,-0.00723676,2.53493,-0.150182,-4.6887,6000
0.182187,0.00592364,-0.00697748,0.000737,0.0023272,0.000886774,-0.160934,-0.00735039,2.53489,0.0120611,0.191088,6000
0.18218,0.00591288,-0.00698111,-0.000645447,-0.00110126,-0.000372124,-0.160902,-0.00729662,2.53491,0.0063296,0.189353,6000
0.182163,0.00590444,-0.00696095,-0.00180969,-0.00086441,0.00206461,-0.160814,-0.00725441,2.5348,0.00761124,0.188032,6000
0.182161,0.00588921,-0.00695403,-0.000123457,-0.00141846,0.000643904,-0.160807,-0.00717823,2.53477,0.0066513,0.190724,6000
0.182157,0.00589829,-0.00694707,-0.000457764,0.000930691,0.000712585,-0.160785,-0.00722367,2.53474,0.0103025,0.189771,6000
0.182152,0.00591353,-0.00695498,-0.000538635,0.00155983,-0.000809431,-0.160759,-0.00729983,2.53477,0.0106422,0.189649,6000
0.182163,0.00594494,-0.00696583,0.00113373,0.00321674,-0.00111098,-0.160814,-0.0074569,2.53483,0.0130804,0.192179,6000
0.182146,0.00594157,-0.00695242,-0.00156056,-0.000313672,0.00124758,-0.16073,-0.00744005,2.53476,0.00749594,0.187806,6000
0.182145,0.00590847,-0.00693777,-9.30786e-05,-0.00338945,0.00150018,-0.160726,-0.00727455,2.53469,0.00369722,0.190658,6000
0.182133,0.00587962,-0.00690761,-0.00128937,-0.00295429,0.00308871,-0.160663,-0.0071303,2.53454,0.00504736,0.18847,6000
0.182159,0.00581636,-0.00678208,0.00274963,-0.00647802,0.012854,-0.160797,-0.00681399,2.53391,-0.000628702,0.195323,6000
0.182127,0.00568801,-0.00663889,-0.00302124,-0.0119484,0.0133297,-0.160635,-0.00617223,2.53319,-0.0082903,0.185636,6000
0.182078,0.00543469,-0.00634402,-0.00497131,-0.0259397,0.0301954,-0.160392,-0.00490565,2.53172,-0.0290746,0.184687,6000
0.18202,0.00507175,-0.00586565,-0.00601044,-0.0371649,0.0489852,-0.160099,-0.00309095,2.52933,-0.043975,0.184132,6000
0.181964,0.00463731,-0.00521542,-0.0057373,-0.0444864,0.0665834,-0.159818,-0.000918766,2.52608,-0.0543982,0.185258,6000
0.181955,0.0041877,-0.00430016,-0.000793457,-0.041855,0.0852025,-0.159776,0.00132931,2.5215,-0.0513285,0.193247,6000
0.181997,0.00367863,-0.00315868,0.00429535,-0.0521283,0.116887,-0.159985,0.00387464,2.51579,-0.0709835,0.201351,6000
0.182053,0.00316464,-0.00174348,0.00577393,-0.052633,0.144917,-0.160267,0.00644461,2.50872,-0.0723257,0.203846,6000
0.18215,0.00271649,-0.000146841,0.00988312,-0.0458908,0.163496,-0.16075,0.00868537,2.50073,-0.0649822,0.211329,6000
0.182276,0.00219569,0.00178965,0.0117063,-0.0484817,0.18027,-0.161379,0.0112894,2.49105,-0.0744258,0.214743,6000
0.182451,0.00175761,0.00387782,0.0179276,-0.0448595,0.213828,-0.162254,0.0134798,2.48061,-0.0715041,0.226968,6000
0.182666,0.00131535,0.00624055,0.0220398,-0.0452874,0.241944,-0.16333,0.0156911,2.4688,-0.0766042,0.234694,6000
0.182922,0.000902441,0.00885613,0.0261703,-0.0422815,0.267836,-0.164608,0.0177556,2.45572,-0.0749493,0.243437,6000
0.183275,0.000519292,0.0117039,0.0361771,-0.0392345,0.291607,-0.166375,0.0196713,2.44148,-0.0740572,0.262205,6000
0.183618,0.000189964,0.0147473,0.0319588,-0.0306575,0.283318,-0.168091,0.021318,2.42626,-0.0637663,0.254942,6000
0.184109,-3.57634e-05,0.0180899,0.0502792,-0.0231144,0.342279,-0.170546,0.0224466,2.40955,-0.0565909,0.29333,6000
0.184672,-0.00031816,0.0216204,0.0575851,-0.0289175,0.361526,-0.173358,0.0238586,2.3919,-0.0706509,0.305189,6000
0.185282,-0.000520649,0.0253491,0.0624954,-0.0207349,0.381823,-0.176409,0.024871,2.37325,-0.0573024,0.31749,6000
0.185892,-0.000743494,0.0292413,0.0567558,-0.0207448,0.36232,-0.179458,0.0259853,2.35379,-0.0613343,0.310432,6000
0.186625,-0.000962061,0.033412,0.0750671,-0.0223812,0.427087,-0.183123,0.0270781,2.33294,-0.0667842,0.354008,6000
0.187445,-0.00112343,0.0377548,0.0840073,-0.016524,0.444697,-0.187225,0.0278849,2.31123,-0.0579863,0.371383,6000
0.188205,-0.00138779,0.0422447,0.0778595,-0.0270708,0.459772,-0.191027,0.0292068,2.28878,-0.0801194,0.366249,6000
0.189111,-0.00160518,0.0468303,0.0842576,-0.0202366,0.426874,-0.195552,0.0302937,2.26585,-0.0664933,0.383877,6000
0.190039,-0.00181423,0.0516418,0.0950378,-0.0214067,0.492695,-0.200193,0.0313389,2.24179,-0.0735485,0.415634,6000
0.191078,-0.00206548,0.0565833,0.106453,-0.0257285,0.506011,-0.205391,0.0325952,2.21708,-0.0830124,0.442354,6000
0.192141,-0.00237574,0.0616039,0.108789,-0.031771,0.51411,-0.210703,0.0341465,2.19198,-0.0949683,0.453377,6000
0.193376,-0.00267821,0.0668274,0.114971,-0.0281573,0.486261,-0.216878,0.0356589,2.16586,-0.0886847,0.471389,6000
0.194632,-0.00305511,0.0721436,0.128654,-0.0385938,0.544375,-0.22316,0.0375433,2.13928,-0.11319,0.513259,6000
0.195871,-0.00341982,0.0775373,0.126903,-0.0373463,0.552316,-0.229356,0.0393669,2.11231,-0.110729,0.51798,6000
0.197284,-0.00379792,0.0830386,0.144641,-0.0387175,0.563336,-0.236419,0.0412574,2.08481,-0.117459,0.566076,6000
0.198738,-0.00427812,0.0885927,0.135415,-0.0447022,0.517036,-0.243692,0.0436584,2.05704,-0.130455,0.550742,6000
0.200242,-0.00481314,0.0943145,0.153947,-0.0547863,0.585909,-0.251209,0.0463335,2.02843,-0.154676,0.613957,6000
0.20177,-0.0053573,0.1001,0.1565,-0.0557219,0.59248,-0.258851,0.0490543,1.9995,-0.157986,0.628025,6000
0.203337,-0.00598137,0.105965,0.160492,-0.0639044,0.600584,-0.266687,0.0521746,1.97017,-0.179327,0.652373,6000
0.205035,-0.00663346,0.111853,0.158069,-0.0607038,0.548053,-0.275177,0.0554351,1.94074,-0.174062,0.654606,6000
0.206788,-0.00730671,0.117868,0.179494,-0.068941,0.615981,-0.283942,0.0588013,1.91066,-0.201056,0.728373,6000
0.20852,-0.00805421,0.123925,0.17735,-0.0765439,0.620258,-0.292601,0.0625388,1.88037,-0.220045,0.735011,6000
0.21033,-0.00881865,0.130052,0.185353,-0.0782793,0.627335,-0.301652,0.0663611,1.84974,-0.228714,0.772978,6000
0.212201,-0.00962946,0.136232,0.191516,-0.083026,0.632867,-0.311003,0.0704151,1.81884,-0.246053,0.804268,6000
0.214176,-0.0104732,0.142472,0.183911,-0.0785486,0.580849,-0.320881,0.074634,1.78764,-0.240558,0.797359,6000
0.216084,-0.011359,0.148761,0.195335,-0.0907044,0.644064,-0.330419,0.0790629,1.75619,-0.280651,0.860872,6000
0.218126,-0.0122762,0.155093,0.209105,-0.0939199,0.64841,-0.340629,0.0836489,1.72453,-0.29222,0.90829,6000
0.220156,-0.0132603,0.161492,0.207893,-0.100766,0.655251,-0.35078,0.0885691,1.69254,-0.316273,0.926661,6000
0.222253,-0.0142222,0.167961,0.195167,-0.0895467,0.602198,-0.361263,0.0933787,1.66019,-0.296626,0.912232,6000
0.224295,-0.0152563,0.174424,0.20914,-0.105891,0.661819,-0.371475,0.0985492,1.62788,-0.352306,0.989297,6000
0.22647,-0.0162543,0.180948,0.222693,-0.102195,0.667975,-0.382349,0.103539,1.59526,-0.34956,1.04033,6000
0.228599,-0.0173382,0.1875,0.217993,-0.110999,0.670915,-0.392993,0.108959,1.5625,-0.382828,1.0533,6000
0.230737,-0.0184474,0.194074,0.199072,-0.103252,0.612045,-0.403685,0.114505,1.52963,-0.369048,1.02463,6000
0.232949,-0.019576,0.200685,0.226488,-0.115565,0.676971,-0.414744,0.120148,1.49657,-0.420611,1.14375,6000
0.235098,-0.0207407,0.207345,0.220087,-0.119267,0.681964,-0.42549,0.125971,1.46327,-0.437926,1.14792,6000
0.23728,-0.0219277,0.214008,0.223395,-0.121551,0.682306,-0.436398,0.131906,1.42996,-0.456358,1.18891,6000
0.239479,-0.0231391,0.220774,0.204727,-0.11277,0.629874,-0.447394,0.137963,1.39613,-0.443855,1.15823,6000
0.241642,-0.024303,0.227475,0.221461,-0.119185,0.686092,-0.458208,0.143783,1.36263,-0.486041,1.25849,6000
0.243859,-0.0254347,0.234282,0.227094,-0.115883,0.697133,-0.469297,0.149441,1.32859,-0.492138,1.30049,6000
0.245951,-0.026611,0.241124,0.214153,-0.120452,0.700616,-0.479753,0.155323,1.29438,-0.521041,1.30213,6000
0.248063,-0.0278029,0.247933,0.196671,-0.110955,0.633858,-0.490317,0.161282,1.26033,-0.502237,1.27238,6000
0.250183,-0.0289086,0.254798,0.217059,-0.11323,0.702878,-0.500915,0.166811,1.22601,-0.540666,1.39541,6000
0.252203,-0.0300142,0.261662,0.206885,-0.113212,0.70296,-0.511017,0.172339,1.19169,-0.555216,1.39352,6000
0.254206,-0.0310323,0.268543,0.205051,-0.104256,0.70459,-0.521029,0.17743,1.15728,-0.549757,1.42985,6000
0.256136,-0.0320771,0.275513,0.179671,-0.0972583,0.648818,-0.53068,0.182653,1.12244,-0.542879,1.37711,6000
0.257988,-0.033091,0.282431,0.189661,-0.103827,0.708405,-0.53994,0.187723,1.08785,-0.591505,1.47968,6000
0.259749,-0.0340485,0.289399,0.180304,-0.0980457,0.713522,-0.548744,0.19251,1.05301,-0.590334,1.48651,5936.1
0.261488,-0.0348416,0.296328,0.178094,-0.0812084,0.709546,-0.55744,0.196476,1.01836,-0.564079,1.51853,5876.52
0.262997,-0.0357222,0.303307,0.154498,-0.090173,0.714639,-0.564984,0.200879,0.983465,-0.613123,1.49525,5795.06
0.264475,-0.0364862,0.310234,0.137601,-0.071124,0.64482,-0.572375,0.204699,0.948832,-0.559756,1.45864,5877.63
0.265887,-0.0371782,0.317188,0.144556,-0.0708591,0.712137,-0.579433,0.208159,0.914059,-0.597964,1.55886,5651.11
0.267099,-0.0377159,0.32418,0.124133,-0.0550575,0.71597,-0.585494,0.210847,0.8791,-0.568318,1.53184,5584.17
0.268279,-0.0382806,0.331107,0.120844,-0.0578339,0.709296,-0.591395,0.213671,0.844466,-0.596062,1.56161,5530.23
0.269306,-0.0387357,0.338003,0.0956365,-0.0423598,0.641965,-0.596532,0.215946,0.809986,-0.550494,1.48676,5605.59
0.270299,-0.0390494,0.344916,0.1017,-0.0321213,0.707898,-0.601497,0.217515,0.77542,-0.555807,1.58909,5382.77
